VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-0.5479,   0.0000,  -0.0000, -181.3471,  -0.0000
-0.5529,   0.0000,  -0.0000, -176.6062,  -0.0000
-0.5579,   0.0000,  -0.0000, -171.7779,  -0.0000
-0.5629,   0.0000,  -0.0000, -166.8644,  -0.0000
-0.5679,   0.0000,  -0.0000, -161.8681,  -0.0000
-0.5729,   0.0000,  -0.0000, -156.7912,  -0.0000
-0.5779,   0.0000,  -0.0000, -151.6361,  -0.0000
-0.5829,   0.0000,  -0.0000, -146.4053,  -0.0000
-0.5879,   0.0000,  -0.0000, -141.1012,  -0.0000
-0.5929,   0.0000,  -0.0000, -135.7264,  -0.0000
-0.5979,   0.0000,  -0.0000, -130.2835,  -0.0000
-0.6029,   0.0000,  -0.0000, -124.7750,  -0.0000
-0.6079,   0.0000,  -0.0000, -119.2037,  -0.0000
-0.6129,   0.0000,  -0.0000, -113.5722,  -0.0000
-0.6179,   0.0000,  -0.0000, -107.8834,  -0.0000
-0.6229,   0.0000,  -0.0000, -102.1400,  -0.0000
-0.6279,   0.0000,  -0.0000, -96.3448,  -0.0000
-0.6329,   0.0000,  -0.0000, -90.5008,  -0.0000
-0.6379,   0.0000,  -0.0000, -84.6109,  -0.0000
-0.6429,   0.0000,  -0.0000, -78.6779,  -0.0000
-0.6479,   0.0000,  -0.0000, -72.7049,  -0.0000
-0.6529,   0.0000,  -0.0000, -66.6949,  -0.0000
-0.6579,   0.0000,  -0.0000, -60.6509,  -0.0000
-0.6629,   0.0000,  -0.0000, -54.5760,  -0.0000
-0.6679,   0.0000,  -0.0000, -48.4731,  -0.0000
-0.6729,   0.0000,  -0.0000, -42.3455,  -0.0000
-0.6779,   0.0000,  -0.0000, -36.1963,  -0.0000
-0.6829,   0.0000,  -0.0000, -30.0286,  -0.0000
-0.6879,   0.0000,  -0.0000, -23.8455,  -0.0000
-0.6929,   0.0000,  -0.0000, -17.6502,  -0.0000
-0.6979,   0.0000,  -0.0000, -11.4458,  -0.0000
-0.7029,   0.0000,  -0.0000,  -5.2356,  -0.0000
-0.7079,   0.0000,  -0.0000,   0.9773,  -0.0000
-0.7129,   0.0000,  -0.0000,   7.1896,  -0.0000
-0.7179,   0.0000,  -0.0000,  13.3983,  -0.0000
-0.7229,   0.0000,  -0.0000,  19.6002,  -0.0000
-0.7279,   0.0000,  -0.0000,  25.7920,  -0.0000
-0.7329,   0.0000,  -0.0000,  31.9706,  -0.0000
-0.7379,   0.0000,  -0.0000,  38.1329,  -0.0000
-0.7429,   0.0000,  -0.0000,  44.2756,  -0.0000
-0.7479,   0.0000,  -0.0000,  50.3957,  -0.0000
-0.7529,   0.0000,  -0.0000,  56.4901,  -0.0000
-0.7579,   0.0000,  -0.0000,  62.5557,  -0.0000
-0.7629,   0.0000,  -0.0000,  68.5893,  -0.0000
-0.7679,   0.0000,  -0.0000,  74.5880,  -0.0000
-0.7729,   0.0000,  -0.0000,  80.5487,  -0.0000
-0.7779,   0.0000,  -0.0000,  86.4685,  -0.0000
-0.7829,   0.0000,  -0.0000,  92.3443,  -0.0000
-0.7879,   0.0000,  -0.0000,  98.1733,  -0.0000
-0.7929,   0.0000,  -0.0000, 103.9524,  -0.0000
-0.7979,   0.0000,  -0.0000, 109.6790,  -0.0000
-0.8029,   0.0000,  -0.0000, 115.3500,  -0.0000
-0.8079,   0.0000,  -0.0000, 120.9629,  -0.0000
-0.8129,   0.0000,  -0.0000, 126.5147,  -0.0000
-0.8179,   0.0000,  -0.0000, 132.0029,  -0.0000
-0.8229,   0.0000,  -0.0000, 137.4247,  -0.0000
-0.8279,   0.0000,  -0.0000, 142.7775,  -0.0000
-0.8329,   0.0000,  -0.0000, 148.0588,  -0.0000
-0.8379,   0.0000,  -0.0000, 153.2661,  -0.0000
-0.8429,   0.0000,  -0.0000, 158.3968,  -0.0000
-0.8479,   0.0000,  -0.0000, 163.4486,  -0.0000
-0.8529,   0.0000,  -0.0000, 168.4191,  -0.0000
-0.8579,   0.0000,  -0.0000, 173.3060,  -0.0000
-0.8629,   0.0000,  -0.0000, 178.1071,  -0.0000
-0.8679,   0.0000,  -0.0000, 182.8201,  -0.0000
-0.8729,   0.0000,  -0.0000, 187.4429,  -0.0000
-0.8779,   0.0000,  -0.0000, 191.9734,  -0.0000
-0.8829,   0.0000,  -0.0000, 196.4096,  -0.0000
-0.8879,   0.0000,  -0.0000, 200.7495,  -0.0000
-0.8929,   0.0000,  -0.0000, 204.9911,  -0.0000
-0.8979,   0.0000,  -0.0000, 209.1328,  -0.0000
-0.9029,   0.0000,  -0.0000, 213.1726,  -0.0000
-0.9079,   0.0000,  -0.0000, 217.1088,  -0.0000
-0.9129,   0.0000,  -0.0000, 220.9397,  -0.0000
-0.9179,   0.0000,  -0.0000, 224.6638,  -0.0000
-0.9229,   0.0000,  -0.0000, 228.2794,  -0.0000
-0.9279,   0.0000,  -0.0000, 231.7852,  -0.0000
-0.9329,   0.0000,  -0.0000, 235.1796,  -0.0000
-0.9379,   0.0000,  -0.0000, 238.4612,  -0.0000
-0.9429,   0.0000,  -0.0000, 241.6289,  -0.0000
-0.9479,   0.0000,  -0.0000, 244.6813,  -0.0000
-0.9529,   0.0000,  -0.0000, 247.6172,  -0.0000
